country,date,reason,first_tenor_dropped,zero,par,gap_bp
US,1981-03-31,zero_par,30.0,0.11569444337816548,0.1265,-108.05556621834522
US,1981-04-30,zero_par,30.0,0.12634921705060953,0.1365,-101.5078294939048
US,1981-05-31,zero_par,30.0,0.12052611717665473,0.1306,-100.7388282334526
US,1981-06-30,zero_par,30.0,0.12032140740019304,0.133,-126.7859259980697
US,1981-07-31,zero_par,30.0,0.12244470645469652,0.1396,-171.55293545303485
US,1981-08-31,zero_par,30.0,0.12815675822528205,0.1478,-196.43241774717936
US,1981-09-30,zero_par,30.0,0.1240419874035541,0.1519,-278.58012596445906
US,1981-10-31,zero_par,30.0,0.12773257812289862,0.1436,-158.67421877101384
US,1981-12-31,zero_par,30.0,0.12222885376597836,0.1365,-142.71146234021649
US,1982-01-31,zero_par,30.0,0.127816386142666,0.1391,-112.83613857334007
US,1982-03-31,zero_par,30.0,0.1267450621369286,0.1368,-100.54937863071406
US,1982-06-30,zero_par,30.0,0.12626033193628228,0.1391,-128.39668063717724
US,1982-10-31,zero_par,30.0,0.1242248246259221,0.1101,141.248246259221
US,1985-09-30,zero_par,20.0,0.11790115341212837,0.1075,104.01153412128369
US,1987-01-31,node_gap,10.5,,,
US,1987-02-28,node_gap,10.5,,,
US,1987-03-31,node_gap,10.5,,,
US,1987-04-30,node_gap,10.5,,,
US,1987-05-31,node_gap,10.5,,,
US,1987-06-30,node_gap,10.5,,,
US,1987-07-31,node_gap,10.5,,,
US,1987-08-31,node_gap,10.5,,,
US,1987-09-30,node_gap,10.5,,,
US,1987-10-31,node_gap,10.5,,,
US,1987-11-30,node_gap,10.5,,,
US,1987-12-31,node_gap,10.5,,,
US,1988-01-31,node_gap,10.5,,,
US,1988-02-29,node_gap,10.5,,,
US,1988-03-31,node_gap,10.5,,,
US,1988-04-30,node_gap,10.5,,,
US,1988-05-31,node_gap,10.5,,,
US,1988-06-30,node_gap,10.5,,,
US,1988-07-31,node_gap,10.5,,,
US,1988-08-31,node_gap,10.5,,,
US,1988-09-30,node_gap,10.5,,,
US,1988-10-31,node_gap,10.5,,,
US,1988-11-30,node_gap,10.5,,,
US,1988-12-31,node_gap,10.5,,,
US,1989-01-31,node_gap,10.5,,,
US,1989-02-28,node_gap,10.5,,,
US,1989-03-31,node_gap,10.5,,,
US,1989-04-30,node_gap,10.5,,,
US,1989-05-31,node_gap,10.5,,,
US,1989-06-30,node_gap,10.5,,,
US,1989-07-31,node_gap,10.5,,,
US,1989-08-31,node_gap,10.5,,,
US,1989-09-30,node_gap,10.5,,,
US,1989-10-31,node_gap,10.5,,,
US,1989-11-30,node_gap,10.5,,,
US,1989-12-31,node_gap,10.5,,,
US,1990-01-31,node_gap,10.5,,,
US,1990-02-28,node_gap,10.5,,,
US,1990-03-31,node_gap,10.5,,,
US,1990-04-30,node_gap,10.5,,,
US,1990-05-31,node_gap,10.5,,,
US,1990-06-30,node_gap,10.5,,,
US,1990-07-31,node_gap,10.5,,,
US,1990-08-31,node_gap,10.5,,,
US,1990-09-30,node_gap,10.5,,,
US,1990-10-31,node_gap,10.5,,,
US,1990-11-30,node_gap,10.5,,,
US,1990-12-31,node_gap,10.5,,,
US,1991-01-31,node_gap,10.5,,,
US,1991-02-28,node_gap,10.5,,,
US,1991-03-31,node_gap,10.5,,,
US,1991-04-30,node_gap,10.5,,,
US,1991-05-31,node_gap,10.5,,,
US,1991-06-30,node_gap,10.5,,,
US,1991-07-31,node_gap,10.5,,,
US,1991-08-31,node_gap,10.5,,,
US,1991-09-30,node_gap,10.5,,,
US,1991-10-31,node_gap,10.5,,,
US,1991-11-30,node_gap,10.5,,,
US,1991-12-31,node_gap,10.5,,,
US,1992-01-31,node_gap,10.5,,,
US,1992-02-29,node_gap,10.5,,,
US,1992-03-31,node_gap,10.5,,,
US,1992-04-30,node_gap,10.5,,,
US,1992-05-31,node_gap,10.5,,,
US,1992-06-30,node_gap,10.5,,,
US,1992-07-31,node_gap,10.5,,,
US,1992-08-31,node_gap,10.5,,,
US,1992-09-30,node_gap,10.5,,,
US,1992-10-31,node_gap,10.5,,,
US,1992-11-30,node_gap,10.5,,,
US,1992-12-31,node_gap,10.5,,,
US,1993-01-31,node_gap,10.5,,,
US,1993-02-28,node_gap,10.5,,,
US,1993-03-31,node_gap,10.5,,,
US,1993-04-30,node_gap,10.5,,,
US,1993-05-31,node_gap,10.5,,,
US,1993-06-30,node_gap,10.5,,,
US,1993-07-31,node_gap,10.5,,,
US,1993-08-31,node_gap,10.5,,,
US,1993-09-30,node_gap,10.5,,,
