country,tenor_years,n_missing,n_flat_short_end
CA,1.0,0,0
CA,2.0,0,0
CA,3.0,0,0
CA,5.0,0,0
CA,7.0,0,0
CA,10.0,0,0
CA,20.0,0,0
CA,30.0,0,0
DE,1.0,0,0
DE,2.0,0,0
DE,3.0,0,0
DE,5.0,0,0
DE,7.0,0,0
DE,10.0,0,0
DE,20.0,0,0
DE,30.0,0,0
FR,1.0,0,262
FR,2.0,0,0
FR,3.0,0,0
FR,5.0,0,0
FR,7.0,0,0
FR,10.0,0,0
FR,20.0,0,0
FR,30.0,0,0
GB,1.0,0,126
GB,2.0,0,0
GB,3.0,0,0
GB,5.0,0,0
GB,7.0,0,0
GB,10.0,0,0
GB,20.0,0,0
GB,30.0,0,0
JP,1.0,0,598
JP,2.0,0,12
JP,3.0,0,12
JP,5.0,0,0
JP,7.0,0,0
JP,10.0,0,0
JP,20.0,0,0
JP,30.0,0,0
US,1.0,0,236
US,2.0,0,0
US,3.0,0,0
US,5.0,0,0
US,7.0,0,0
US,10.0,0,0
US,20.0,0,0
US,30.0,0,0
