rank,sign,date,r_net,country,tenor_years,leg,wd,r_bucket,contribution
1,gain,2023-05-31,0.016076131536388046,GB,3.0,short,-0.4166666666666667,-0.021286645229241254,0.0031869767202656885
1,gain,2023-05-31,0.016076131536388046,GB,5.0,short,-0.4166666666666667,-0.026476474998643664,0.002467716964564424
1,gain,2023-05-31,0.016076131536388046,US,2.0,short,-0.4166666666666667,-0.009912481972566665,0.002179916608568073
1,gain,2023-05-31,0.016076131536388046,FR,2.0,short,-0.4166666666666667,-0.009711589178197654,0.002109534059791568
1,gain,2023-05-31,0.016076131536388046,DE,1.0,short,-0.4166666666666667,-0.004841341722831193,0.00207705962180209
1,gain,2023-05-31,0.016076131536388046,US,20.0,long,0.4166666666666667,-0.007526412998708041,-0.00022947914484602037
1,gain,2023-05-31,0.016076131536388046,FR,20.0,long,0.4166666666666667,-0.009020157444490206,-0.0002584984838535362
1,gain,2023-05-31,0.016076131536388046,DE,30.0,long,0.4166666666666667,-0.018471989849040592,-0.0003614674468214171
1,gain,2023-05-31,0.016076131536388046,CA,1.0,long,0.4166666666666667,-0.0025709724963681423,-0.0011115363720506741
1,gain,2023-05-31,0.016076131536388046,GB,1.0,long,0.4166666666666667,-0.0063070420065947895,-0.0027198640151192602
2,gain,2002-06-30,0.014802077686416663,US,3.0,long,0.5,0.022003517412549252,0.0038865402005755197
2,gain,2002-06-30,0.014802077686416663,US,2.0,long,0.5,0.014152760954869286,0.0036673727841222453
2,gain,2002-06-30,0.014802077686416663,CA,2.0,long,0.5,0.011896318118642328,0.0031232049805884564
2,gain,2002-06-30,0.014802077686416663,GB,2.0,long,0.5,0.011277378558385363,0.002989028257702557
2,gain,2002-06-30,0.014802077686416663,GB,1.0,long,0.5,0.005174732958773097,0.0026731501406663544
2,gain,2002-06-30,0.014802077686416663,CA,30.0,short,-0.5,0.014344972158903395,-0.0005058986314221336
2,gain,2002-06-30,0.014802077686416663,GB,10.0,short,-0.5,0.008173329287584373,-0.0005250706986263341
2,gain,2002-06-30,0.014802077686416663,CA,20.0,short,-0.5,0.012972009199044503,-0.0005552592235219354
2,gain,2002-06-30,0.014802077686416663,US,20.0,short,-0.5,0.034775805406130685,-0.0014622209592561593
2,gain,2002-06-30,0.014802077686416663,US,10.0,short,-0.5,0.03212819285021396,-0.0020473284599757694
3,gain,1998-10-31,0.012729472979244028,US,2.0,short,-0.5,-0.008378464217599815,0.002203588451307744
3,gain,1998-10-31,0.012729472979244028,GB,20.0,long,0.5,0.054561422535374604,0.002179203210787212
3,gain,1998-10-31,0.012729472979244028,US,1.0,short,-0.5,-0.0038977227674523865,0.002010168807666855
3,gain,1998-10-31,0.012729472979244028,GB,10.0,long,0.5,0.028193875522568412,0.001814305498315162
3,gain,1998-10-31,0.012729472979244028,CA,2.0,short,-0.5,-0.004637184626719008,0.001227510814570988
3,gain,1998-10-31,0.012729472979244028,JP,1.0,short,-0.5,0.00013802423343437433,-6.912497201517824e-05
3,gain,1998-10-31,0.012729472979244028,DE,1.0,short,-0.5,0.0005263173943159971,-0.0002719912789158201
3,gain,1998-10-31,0.012729472979244028,DE,2.0,short,-0.5,0.0014241850626539898,-0.0003742026450942594
3,gain,1998-10-31,0.012729472979244028,JP,5.0,long,0.5,-0.004117533386230854,-0.00041903492617075433
3,gain,1998-10-31,0.012729472979244028,US,7.0,long,0.5,-0.013523348951579486,-0.0011356135792568573
4,gain,2019-07-31,0.01217121207862933,US,30.0,long,0.8333333333333334,0.1324523075710837,0.005272599362235008
4,gain,2019-07-31,0.01217121207862933,US,20.0,long,0.8333333333333334,0.09030264226895121,0.0047197696706058195
4,gain,2019-07-31,0.01217121207862933,CA,10.0,long,0.8333333333333334,0.03156319019301446,0.0028443329924476173
4,gain,2019-07-31,0.01217121207862933,GB,20.0,long,0.8333333333333334,0.05568732626215277,0.0026348118216941627
4,gain,2019-07-31,0.01217121207862933,CA,20.0,long,0.8333333333333334,0.04621501275647733,0.0022852205957289286
4,gain,2019-07-31,0.01217121207862933,GB,1.0,short,-0.8333333333333334,-0.00010637061639363844,8.896613518271003e-05
4,gain,2019-07-31,0.01217121207862933,US,1.0,short,-0.8333333333333334,0.001656138880076406,-0.001400851800635109
4,gain,2019-07-31,0.01217121207862933,CA,2.0,short,-0.8333333333333334,0.003832304093274847,-0.00162850007470557
4,gain,2019-07-31,0.01217121207862933,CA,3.0,short,-0.8333333333333334,0.0064582298484599015,-0.0018419235847554826
4,gain,2019-07-31,0.01217121207862933,US,2.0,short,-0.8333333333333334,0.0065105910232534404,-0.00277713627943032
5,gain,2019-12-31,0.009721305330953113,US,20.0,long,0.8333333333333334,0.07216702046477873,0.003750699139918053
5,gain,2019-12-31,0.009721305330953113,CA,10.0,long,0.8333333333333334,0.040159963542196093,0.0036589219117626423
5,gain,2019-12-31,0.009721305330953113,US,7.0,long,0.8333333333333334,0.02742337012950601,0.0034931462350304594
5,gain,2019-12-31,0.009721305330953113,GB,20.0,long,0.8333333333333334,0.05621323993955217,0.002668638832616238
5,gain,2019-12-31,0.009721305330953113,GB,10.0,long,0.8333333333333334,0.028489469589551772,0.0024772105862150067
5,gain,2019-12-31,0.009721305330953113,GB,2.0,short,-0.8333333333333334,0.0009595924787312171,-0.00040248360159999695
5,gain,2019-12-31,0.009721305330953113,US,1.0,short,-0.8333333333333334,0.001100702517846764,-0.0009282047652509706
5,gain,2019-12-31,0.009721305330953113,US,2.0,short,-0.8333333333333334,0.00448163232209008,-0.0019043720016256658
5,gain,2019-12-31,0.009721305330953113,CA,2.0,short,-0.8333333333333334,0.00460849549068732,-0.0019612862506623923
5,gain,2019-12-31,0.009721305330953113,CA,3.0,short,-0.8333333333333334,0.008805943929869114,-0.002518839451942995
6,gain,2022-04-30,0.009522902602613596,DE,20.0,short,-0.4166666666666667,-0.06882273618260526,0.0015740565625574064
6,gain,2022-04-30,0.009522902602613596,GB,30.0,short,-0.4166666666666667,-0.07701397908605313,0.0014317838761458306
6,gain,2022-04-30,0.009522902602613596,GB,20.0,short,-0.4166666666666667,-0.05152398420992822,0.0013238319729906708
6,gain,2022-04-30,0.009522902602613596,US,2.0,long,0.4166666666666667,0.005806817635131516,0.0012508565998401316
6,gain,2022-04-30,0.009522902602613596,FR,30.0,short,-0.4166666666666667,-0.06589583284725475,0.0011991290615777947
6,gain,2022-04-30,0.009522902602613596,DE,3.0,long,0.4166666666666667,-0.001971780728218797,-0.00027631324673437944
6,gain,2022-04-30,0.009522902602613596,FR,3.0,long,0.4166666666666667,-0.0023423333907824917,-0.0003292357554392428
6,gain,2022-04-30,0.009522902602613596,FR,2.0,long,0.4166666666666667,-0.001755306515899946,-0.00036744509866306165
6,gain,2022-04-30,0.009522902602613596,DE,2.0,long,0.4166666666666667,-0.0018726509352718912,-0.0003913654977949765
6,gain,2022-04-30,0.009522902602613596,CA,1.0,long,0.4166666666666667,-0.0018081970825797131,-0.0007657885490403747
7,gain,2023-10-31,0.00944122742266247,CA,30.0,long,0.4166666666666667,0.09172511892324418,0.0021732516631533835
7,gain,2023-10-31,0.00944122742266247,US,20.0,long,0.4166666666666667,0.06397301028223304,0.002161427430133581
