rank,sign,date,r_net,country,tenor_years,leg,wd,r_bucket,contribution
1,gain,2002-06-30,0.03360222046051283,US,3.0,long,0.6989225339265871,0.022003517412549252,0.005432781050387577
1,gain,2002-06-30,0.03360222046051283,US,2.0,long,0.6989225339265871,0.014152760954869286,0.005126418958264245
1,gain,2002-06-30,0.03360222046051283,US,5.0,long,0.6989225339265871,0.029066712010080938,0.004533937804973697
1,gain,2002-06-30,0.03360222046051283,CA,2.0,long,0.6989225339265871,0.011896318118642328,0.004365756678010042
1,gain,2002-06-30,0.03360222046051283,CA,3.0,long,0.6989225339265871,0.016757001843325063,0.004209883993881801
1,gain,2002-06-30,0.03360222046051283,DE,20.0,short,-0.6989225339265871,0.009122201082838434,-0.0005230164564978164
1,gain,2002-06-30,0.03360222046051283,CA,30.0,short,-0.6989225339265871,0.014344972158903395,-0.0007071679067671004
1,gain,2002-06-30,0.03360222046051283,GB,10.0,short,-0.6989225339265871,0.008173329287584373,-0.0007339674863490414
1,gain,2002-06-30,0.03360222046051283,GB,7.0,short,-0.6989225339265871,0.012768640210525227,-0.0015302536206267226
1,gain,2002-06-30,0.03360222046051283,GB,5.0,short,-0.6989225339265871,0.014856148601002227,-0.002376365572058248
2,gain,2024-01-31,0.02943887592020843,DE,2.0,short,-0.6666666666666666,-0.010355880738912328,0.0035837839687139555
2,gain,2024-01-31,0.02943887592020843,DE,3.0,short,-0.6666666666666666,-0.015281941549512536,0.003549746251366231
2,gain,2024-01-31,0.02943887592020843,FR,2.0,short,-0.6666666666666666,-0.00987473372774136,0.003421494484682354
2,gain,2024-01-31,0.02943887592020843,FR,3.0,short,-0.6666666666666666,-0.013377497146974528,0.003120222485550235
2,gain,2024-01-31,0.02943887592020843,DE,5.0,short,-0.6666666666666666,-0.020740972894669776,0.002940403328188255
2,gain,2024-01-31,0.02943887592020843,US,20.0,long,0.6666666666666666,-0.02306256384528379,-0.0011578750650805994
2,gain,2024-01-31,0.02943887592020843,FR,20.0,long,0.6666666666666666,-0.027221282156973916,-0.001236777558506488
2,gain,2024-01-31,0.02943887592020843,DE,30.0,long,0.6666666666666666,-0.0410271224635049,-0.0012878321464542938
2,gain,2024-01-31,0.02943887592020843,DE,20.0,long,0.6666666666666666,-0.03477863762616237,-0.0014785003293454522
2,gain,2024-01-31,0.02943887592020843,GB,10.0,long,0.6666666666666666,-0.021129641668997428,-0.0017110865498950838
3,gain,2003-04-30,0.028549407109005,US,5.0,long,0.6970148336089331,0.028502993757051284,0.004291424558704345
3,gain,2003-04-30,0.028549407109005,US,7.0,long,0.6970148336089331,0.036469876801438365,0.004109877492909136
3,gain,2003-04-30,0.028549407109005,US,10.0,long,0.6970148336089331,0.04836516999607026,0.004101484896728555
3,gain,2003-04-30,0.028549407109005,CA,5.0,long,0.6970148336089331,0.0252364192597627,0.003952278830028113
3,gain,2003-04-30,0.028549407109005,CA,3.0,long,0.6970148336089331,0.01523302497618937,0.0037840372751104445
3,gain,2003-04-30,0.028549407109005,JP,7.0,short,-0.6970148336089331,0.007858014733941437,-0.0007935574327658819
3,gain,2003-04-30,0.028549407109005,GB,2.0,short,-0.6970148336089331,0.0023351685666795244,-0.0008498955241856807
3,gain,2003-04-30,0.028549407109005,GB,20.0,short,-0.6970148336089331,0.030894556527316475,-0.0016600903962399295
3,gain,2003-04-30,0.028549407109005,DE,1.0,short,-0.6970148336089331,0.0027623789627314525,-0.0019714471120093925
3,gain,2003-04-30,0.028549407109005,CA,30.0,short,-0.6970148336089331,0.06339030226441109,-0.0029802357576813716
4,gain,2010-05-31,0.026890419426665545,CA,3.0,long,0.6666666666666666,0.015190216581097126,0.0035122384590898347
4,gain,2010-05-31,0.026890419426665545,CA,2.0,long,0.6666666666666666,0.009458766700372523,0.0032261365529080554
4,gain,2010-05-31,0.026890419426665545,CA,5.0,long,0.6666666666666666,0.020607275493361086,0.002961576639188743
4,gain,2010-05-31,0.026890419426665545,US,10.0,long,0.6666666666666666,0.03411829090450315,0.0026903216157105766
4,gain,2010-05-31,0.026890419426665545,US,7.0,long,0.6666666666666666,0.025358552514642824,0.002671522224161369
4,gain,2010-05-31,0.026890419426665545,CA,20.0,short,-0.6666666666666666,0.01653439168351681,-0.0007914539781161026
4,gain,2010-05-31,0.026890419426665545,JP,5.0,short,-0.6666666666666666,0.005894456072502376,-0.0007958166741409909
4,gain,2010-05-31,0.026890419426665545,JP,7.0,short,-0.6666666666666666,0.011136625896668409,-0.0010897738020086462
4,gain,2010-05-31,0.026890419426665545,JP,30.0,short,-0.6666666666666666,0.04523099958703757,-0.001362825424072778
4,gain,2010-05-31,0.026890419426665545,JP,20.0,short,-0.6666666666666666,0.038490819031033456,-0.0015683619748988922
5,gain,2002-03-31,0.026624708271349152,US,2.0,long,0.7871289234853897,0.011899831592371296,0.004903133145299831
5,gain,2002-03-31,0.026624708271349152,US,3.0,long,0.7871289234853897,0.01673079075172624,0.004726742142327762
5,gain,2002-03-31,0.026624708271349152,US,5.0,long,0.7871289234853897,0.020768991106814523,0.003727094109049181
5,gain,2002-03-31,0.026624708271349152,US,1.0,long,0.7871289234853897,0.004602656197919114,0.003696411176468658
5,gain,2002-03-31,0.026624708271349152,CA,2.0,long,0.7871289234853897,0.007927313963420429,0.003293124647041578
5,gain,2002-03-31,0.026624708271349152,CA,30.0,short,-0.7871289234853897,0.012559242717914459,-0.0007083305144120719
5,gain,2002-03-31,0.026624708271349152,DE,20.0,short,-0.7871289234853897,0.01234569082543844,-0.0008156157892960874
5,gain,2002-03-31,0.026624708271349152,GB,10.0,short,-0.7871289234853897,0.008966904130849405,-0.0009189865897817052
5,gain,2002-03-31,0.026624708271349152,GB,7.0,short,-0.7871289234853897,0.008491615811343133,-0.0011574757636724899
5,gain,2002-03-31,0.026624708271349152,DE,10.0,short,-0.7871289234853897,0.011733248042025558,-0.0012118200762409354
6,gain,2022-04-30,0.023894671125469412,DE,20.0,short,-0.7692307692307693,-0.06882273618260526,0.002905950577029058
6,gain,2022-04-30,0.023894671125469412,GB,30.0,short,-0.7692307692307693,-0.07701397908605313,0.0026432933098076874
6,gain,2022-04-30,0.023894671125469412,GB,20.0,short,-0.7692307692307693,-0.05152398420992822,0.0024439974885981613
6,gain,2022-04-30,0.023894671125469412,US,2.0,long,0.7692307692307693,0.005806817635131516,0.0023092737227817816
6,gain,2022-04-30,0.023894671125469412,FR,30.0,short,-0.7692307692307693,-0.06589583284725475,0.002213776729066698
6,gain,2022-04-30,0.023894671125469412,JP,20.0,short,-0.7692307692307693,-0.00194603349605015,8.072518780481052e-05
6,gain,2022-04-30,0.023894671125469412,FR,3.0,long,0.7692307692307693,-0.0023423333907824917,-0.0006078198561955252
6,gain,2022-04-30,0.023894671125469412,FR,2.0,long,0.7692307692307693,-0.001755306515899946,-0.0006783601821471907
6,gain,2022-04-30,0.023894671125469412,DE,2.0,long,0.7692307692307693,-0.0018726509352718912,-0.0007225209190061103
6,gain,2022-04-30,0.023894671125469412,CA,1.0,long,0.7692307692307693,-0.0018081970825797131,-0.0014137634751514609
7,gain,2012-06-30,0.022940187190135183,FR,5.0,long,0.7142857142857143,0.029943533559929535,0.0044749317388514
7,gain,2012-06-30,0.022940187190135183,FR,7.0,long,0.7142857142857143,0.039063321448803555,0.004327505706395089
7,gain,2012-06-30,0.022940187190135183,FR,10.0,long,0.7142857142857143,0.05078168512519934,0.004186550932178214
7,gain,2012-06-30,0.022940187190135183,FR,3.0,long,0.7142857142857143,0.014899362089856668,0.00360544732839374
7,gain,2012-06-30,0.022940187190135183,DE,10.0,long,0.7142857142857143,0.027547270179562842,0.0021526727592256377
7,gain,2012-06-30,0.022940187190135183,FR,1.0,short,-0.7142857142857143,0.0015393627242105325,-0.0011020627606064105
7,gain,2012-06-30,0.022940187190135183,GB,2.0,short,-0.7142857142857143,0.0036614866784188778,-0.0013120996218361318
7,gain,2012-06-30,0.022940187190135183,DE,3.0,short,-0.7142857142857143,0.006646887549140243,-0.0015911514077266542
7,gain,2012-06-30,0.022940187190135183,GB,3.0,short,-0.7142857142857143,0.007062563964654721,-0.0016933550299638724
7,gain,2012-06-30,0.022940187190135183,FR,2.0,short,-0.7142857142857143,0.005712076501378635,-0.002053562644791505
8,gain,2001-06-30,0.02286950200568742,US,3.0,long,0.8333333333333334,0.013804187285298131,0.004143452120241142
8,gain,2001-06-30,0.02286950200568742,US,2.0,long,0.8333333333333334,0.009224234425846679,0.004049759722139749
8,gain,2001-06-30,0.02286950200568742,US,7.0,long,0.8333333333333334,0.026711377071488674,0.0038450195411255292
