country,decade,tenor_years,n_months,sd_bp
CA,1980s,1.0,47,55.486340838369884
CA,1980s,2.0,47,54.524940965867394
CA,1980s,3.0,47,52.65403919408009
CA,1980s,5.0,47,53.034278225706096
CA,1980s,7.0,47,49.58412183842827
CA,1980s,10.0,47,40.68103844950107
CA,1980s,20.0,47,39.79927906163202
CA,1990s,1.0,120,54.04394779469505
CA,1990s,2.0,120,50.56310425238653
CA,1990s,3.0,120,47.71291821607234
CA,1990s,5.0,120,42.33539011823507
CA,1990s,7.0,120,38.558753977892486
CA,1990s,10.0,120,35.52399663202806
CA,1990s,20.0,120,27.888971275763815
CA,2000s,1.0,120,25.36446563926201
CA,2000s,2.0,120,27.530223340352983
CA,2000s,3.0,120,26.53661899985999
CA,2000s,5.0,120,24.131126876102176
CA,2000s,7.0,120,22.529194515297334
CA,2000s,10.0,120,20.738790561610916
CA,2000s,20.0,120,16.28129025540553
CA,2010s,1.0,120,11.369970248914926
CA,2010s,2.0,120,14.83677810657677
CA,2010s,3.0,120,16.470756417269264
CA,2010s,5.0,120,18.360843052295667
CA,2010s,7.0,120,19.257139659274966
CA,2010s,10.0,120,18.748415147081328
CA,2010s,20.0,120,15.494370848979594
CA,2020s,1.0,80,24.677258093409776
CA,2020s,2.0,80,26.052858549265085
CA,2020s,3.0,80,26.26361826339828
CA,2020s,5.0,80,26.516860776450397
CA,2020s,7.0,80,26.739718520490264
CA,2020s,10.0,80,25.302241556930984
CA,2020s,20.0,80,20.997545143036884
CA,full,1.0,487,36.105392726636595
CA,full,2.0,487,35.54008752435904
CA,full,3.0,487,34.27964001294938
CA,full,5.0,487,32.3693041138048
CA,full,7.0,487,30.51391376234614
CA,full,10.0,487,27.644235386601984
CA,full,20.0,487,23.258546619116597
DE,1990s,1.0,28,17.029055918718736
DE,1990s,2.0,28,20.13797262106358
DE,1990s,3.0,28,21.970923259666385
DE,1990s,5.0,28,22.71606897641104
DE,1990s,7.0,28,22.20344005840798
DE,1990s,10.0,28,21.194024519656864
DE,1990s,20.0,28,19.94543717170314
DE,1990s,30.0,28,22.046340422365343
DE,2000s,1.0,120,21.962325790442407
DE,2000s,2.0,120,23.64241785565894
DE,2000s,3.0,120,23.230287569435447
DE,2000s,5.0,120,21.131799719716017
DE,2000s,7.0,120,19.45160205117741
DE,2000s,10.0,120,17.916797137589008
DE,2000s,20.0,120,15.612848988503444
DE,2000s,30.0,120,17.16849653789739
DE,2010s,1.0,120,11.29584168202185
DE,2010s,2.0,120,13.66389585800186
DE,2010s,3.0,120,15.206750411276888
DE,2010s,5.0,120,16.805456443069733
DE,2010s,7.0,120,17.69131055494515
DE,2010s,10.0,120,18.809805912248436
DE,2010s,20.0,120,21.45990432111644
DE,2010s,30.0,120,21.641757868254203
DE,2020s,1.0,80,20.396606819278553
DE,2020s,2.0,80,23.178239630894343
DE,2020s,3.0,80,23.555250815322143
DE,2020s,5.0,80,23.05834958218114
DE,2020s,7.0,80,22.824246710215164
DE,2020s,10.0,80,22.666005620226958
DE,2020s,20.0,80,22.125962535543643
DE,2020s,30.0,80,21.714512340515185
DE,full,1.0,348,18.260298301435416
DE,full,2.0,348,20.42130064278019
DE,full,3.0,348,20.87653591939291
DE,full,5.0,348,20.467977026186826
DE,full,7.0,348,20.05247153357001
DE,full,10.0,348,19.79660824198218
DE,full,20.0,348,19.825681170268552
DE,full,30.0,348,20.389601999074227
FR,2000s,1.0,61,22.8637245793275
FR,2000s,2.0,61,24.070911071443792
FR,2000s,3.0,61,21.890078931803583
FR,2000s,5.0,61,20.42548773541285
FR,2000s,7.0,61,19.23107491986751
FR,2000s,10.0,61,18.913682915139045
FR,2000s,20.0,61,16.580951577599457
FR,2010s,1.0,120,11.310045607894883
FR,2010s,2.0,120,13.539605649390468
FR,2010s,3.0,120,15.71701129288632
FR,2010s,5.0,120,17.94587305943466
FR,2010s,7.0,120,19.25183055284503
FR,2010s,10.0,120,20.519709096948585
FR,2010s,20.0,120,22.43639467571756
FR,2020s,1.0,80,19.918380886806485
FR,2020s,2.0,80,23.91948533301556
FR,2020s,3.0,80,23.438422373246997
FR,2020s,5.0,80,24.278855268899317
FR,2020s,7.0,80,23.909319955628717
FR,2020s,10.0,80,24.318115693271466
FR,2020s,20.0,80,23.182538817007256
FR,full,1.0,261,17.53650640469235
FR,full,2.0,261,19.99870346332783
FR,full,3.0,261,19.99137462400574
FR,full,5.0,261,20.805118835625276
FR,full,7.0,261,20.970237490619823
FR,full,10.0,261,21.618164973665365
FR,full,20.0,261,21.701430057621348
GB,1970s,1.0,116,85.99582986436829
GB,1970s,2.0,116,79.17024391214876
GB,1970s,3.0,116,73.48348356652318
GB,1970s,5.0,116,67.79664021461292
GB,1970s,7.0,116,67.34454017234188
GB,1970s,10.0,116,71.97351919417143
GB,1980s,1.0,120,73.01533724953673
GB,1980s,2.0,120,65.72062137618826
GB,1980s,3.0,120,62.86638714684231
GB,1980s,5.0,120,58.906671007167965
GB,1980s,7.0,120,54.007319560337095
GB,1980s,10.0,120,48.466942742365084
GB,1990s,1.0,120,43.07336937671133
GB,1990s,2.0,120,41.93378510434316
GB,1990s,3.0,120,40.922188279697735
GB,1990s,5.0,120,39.18650014590528
GB,1990s,7.0,120,37.59687255930906
GB,1990s,10.0,120,35.068961866400954
GB,2000s,1.0,120,25.96353313649395
GB,2000s,2.0,120,26.521607145212123
