# gap_bp - the plan's dy: par yield at the aged tenor minus the coupon
tenor_years,n,mean_bp,std_bp,p01,p05,p50,p95,p99,max_abs_bp
1.0,3145,-32.071430006697966,30.744750490459314,-116.65004872202434,-92.12102255140744,-28.400261841905852,2.5653990316984587,5.813137042302644,140.65863787654078
2.0,3159,-33.311673659199144,30.60442210714752,-115.81370007430358,-91.80914594170272,-29.478283290142954,2.1980500705744075,5.935693714112155,138.63986929009303
3.0,3171,-34.35220419622559,30.31336011793726,-115.26590386256896,-92.36956558381173,-30.541859367422187,2.1063673184755114,5.814891162847828,135.74002909682008
5.0,3173,-36.10336311358875,29.707420604031075,-114.35341706867881,-93.45256236998743,-32.00478325664343,0.961012864325025,4.94037159638508,134.1383306790798
7.0,3173,-37.535865263967345,29.247420861546598,-114.37291270132457,-94.26509359875305,-33.32755008677447,0.24336886000701674,3.6600802961262415,132.41235507029782
10.0,3031,-37.831915280947065,28.72044562284944,-116.12298999626174,-95.65150991512984,-33.58419225645029,-1.1686702559629567,2.5907889502956865,132.8736968449415
20.0,2859,-37.63804417586292,27.108645460798034,-114.63091824622796,-89.45816932845528,-34.718222885712805,-0.9438347810683535,11.90533423490824,146.9027392552144
30.0,1907,-29.94470821095291,23.418046002909424,-98.22305187621635,-72.950797192592,-28.977807771376934,4.7779334594425995,24.724408501811276,116.23264276903939

# the 20 largest |gap_bp| rows
date,country,tenor_years,dy,gap_bp
1974-09-30,GB,20.0,0.012421453377755631,-146.9027392552144
1975-03-31,GB,20.0,0.012634586170926748,-144.92588713420352
1981-08-31,US,1.0,-0.018945560530364947,-140.65863787654078
1974-11-30,GB,20.0,0.0035375382513802567,-139.46998378548136
1981-08-31,US,2.0,-0.008568120777193627,-138.63986929009303
1981-09-30,US,1.0,-0.0365428810950757,-137.3159358830913
1981-09-30,US,2.0,-0.028169952897210943,-136.00144946202062
1981-08-31,US,3.0,-0.004365318276669056,-135.74002909682008
1981-07-31,US,1.0,-0.006721104247875503,-134.1423661861122
1981-08-31,US,5.0,-0.0022518560348612493,-134.1383306790798
1974-10-31,GB,20.0,0.0025479991590201256,-133.8064809938101
1981-09-30,US,3.0,-0.023027933983002596,-133.36036462234705
1981-09-30,GB,10.0,-0.0039280976654502975,-132.8736968449415
1981-09-30,GB,7.0,-0.003481437417408695,-132.41235507029782
1981-07-31,US,2.0,0.0009821938096808425,-132.0555804620594
1981-09-30,GB,5.0,-0.0032057105342210845,-131.75997334467297
1981-08-31,US,7.0,0.00034235624422418454,-130.8905486784613
1976-09-30,GB,20.0,0.008691296331544363,-130.855434883939
1981-09-30,GB,3.0,-0.005688593769357514,-130.71209766126896
1981-09-30,US,5.0,-0.018386035030036774,-130.57916270952958

# gap_bp_ytm - candidate ytm: the change in the bond's own yield to maturity
tenor_years,n,mean_bp,std_bp,p01,p05,p50,p95,p99,max_abs_bp
1.0,3145,-0.6254003200031012,2.8904934895233847,-10.6259454782017,-5.3732649239592485,-0.21973797439784562,2.832067008158161,7.313074737239328,36.76978404580498
2.0,3159,-0.6640045408342073,2.595122880508311,-8.964325242189366,-5.082650732978793,-0.31293803848261337,2.829364819163615,6.179248216627089,26.702798217208418
3.0,3171,-0.6634654510211759,2.339853936860112,-8.01655270122318,-4.585162510920698,-0.3806955893426818,2.7194383374282842,5.155171002229836,19.11469616455788
5.0,3173,-0.6801121864823644,1.9606616279598614,-6.7742614509613635,-3.9966152679019316,-0.49116580247430924,2.2587183093533043,4.053403345146231,12.04837101849099
7.0,3173,-0.6884101576868183,1.6869860682172253,-5.626537290693889,-3.520733554096482,-0.5879642269289096,1.9770474213298337,3.432990303416139,7.554193090516942
10.0,3031,-0.6647585589672604,1.4013645595277269,-4.182829204152999,-3.0672545773498263,-0.5950779650381808,1.529839301469063,2.681377921317874,5.290420134396456
20.0,2859,-0.5889868734875735,1.2830459819204856,-3.388376103017554,-2.02640914128311,-0.5897514538414848,0.8294999885774116,1.5095680715178572,42.322564189747055
30.0,1907,-0.4057416288208494,0.9627342771305051,-2.7579646746877953,-1.4286970681529596,-0.4334382119626674,0.6222807783747353,1.2787953990583405,15.21826255736075

# the 20 largest |gap_bp_ytm| rows
date,country,tenor_years,dy_ytm,gap_bp_ytm
1977-07-31,GB,20.0,-0.027223827254837685,42.322564189747055
1980-03-31,US,1.0,-0.046799999999999994,-36.76978404580498
1980-03-31,US,2.0,-0.03789234662016702,-26.702798217208418
1977-07-31,GB,1.0,-0.026950693223598943,-21.72126558750577
1981-10-31,US,1.0,-0.025578500215367186,-21.319004859757655
1981-09-30,US,1.0,-0.023936596550037464,-20.781525687066303
1980-03-31,US,3.0,-0.030017666620786754,-19.11469616455788
1973-06-30,GB,1.0,0.027264054612719427,18.955437873984447
1980-04-30,US,1.0,-0.02289999999999992,-18.80044940273936
1980-01-31,US,1.0,0.03050000000000007,17.940280453525062
1981-10-31,US,2.0,-0.022844825421298495,-17.41666613602838
1977-07-31,GB,2.0,-0.02278299565610975,-17.15060984932258
1992-08-31,GB,1.0,-0.02075075178204308,-17.058323873106808
1981-09-30,US,2.0,-0.02129861865576882,-16.889046512893678
1982-06-30,US,1.0,-0.019027953713808124,-16.660159174753385
1992-08-31,CA,1.0,0.02166376551597985,15.951640442289673
1977-02-28,GB,1.0,-0.018394321397767227,-15.35558246665146
2008-12-31,US,30.0,0.009039952635604916,-15.21826255736075
1980-01-31,US,2.0,0.030295613347776043,15.034014145296966
1972-05-31,GB,1.0,0.019871274933670455,14.775569619796832

# gap_bp_curve - candidate curve: the par move at the same tenor, plus the 4.1 rolldown
tenor_years,n,mean_bp,std_bp,p01,p05,p50,p95,p99,max_abs_bp
1.0,3145,-0.6271083111031973,3.658673498708465,-12.79960995097438,-6.101455074140814,-0.22114061045823072,4.258927221420488,8.75014637378922,36.76978404580422
2.0,3159,-0.7441047383091698,2.9936276419331738,-9.517166233986044,-5.68747723241501,-0.4391530042311797,3.6998049697544215,7.303464267981844,18.533992317641896
3.0,3171,-0.7660474751809954,2.6139676946034296,-8.459463146133949,-5.146979038146574,-0.5907270851426925,3.128535253212111,5.53528557507482,21.711992486946883
5.0,3173,-0.9055468902996463,2.293710441271714,-7.575715297570934,-4.663012618459381,-0.805330993920595,2.429193199668914,4.889917458691473,16.331752030815764
7.0,3173,-0.9953228438334568,2.6092497413893794,-9.440536048662052,-5.335340848118715,-0.7856762812001594,2.3906981941813963,5.462342521077572,24.991660188127817
10.0,3031,-0.8828331885063401,3.9979656430431456,-13.895201591301106,-6.722999132229203,-0.6430062645236502,4.360103083033682,9.976674550169298,40.215553817562686
20.0,2859,-0.813656677386755,9.386636196675392,-27.277669407520037,-15.566411969506989,-0.4746560744667977,13.397575219216305,25.67268183253927,84.49911998886867
30.0,1907,0.863881370148166,11.64694751614448,-32.12195878752548,-18.07318969582935,0.8161273742973794,20.145884073745975,39.82335581421608,77.02711984663712

# the 20 largest |gap_bp_curve| rows
date,country,tenor_years,dy_curve,gap_bp_curve
1977-07-31,GB,20.0,-0.026712887590142967,84.49911998886867
2008-10-31,US,20.0,-0.010299999999999969,78.08393191566203
2015-05-31,FR,30.0,0.005979999999999992,-77.02711984663712
2008-12-31,US,20.0,0.008100000000000045,-75.18198455357283
2003-06-30,US,20.0,0.00909999999999999,-73.4690455767402
